,head,left,right,winner,count,total_count,accuracy,triplet_category
2582,caterpillar,kettle,lion,lion,29,31,0.9354838709677419,cat_4
5428,tractor,airplane,kettle,airplane,27,29,0.9310344827586207,cat_1
847,moth,lizard,monkey,lizard,27,29,0.9310344827586207,cat_3
4070,lizard,snake,train,snake,27,29,0.9310344827586207,cat_2
4072,elephant,moth,lizard,lizard,27,29,0.9310344827586207,cat_3
3903,bowl,jar,caterpillar,jar,27,29,0.9310344827586207,cat_2
4292,lizard,kettle,turtle,turtle,26,28,0.9285714285714286,cat_2
4224,drum,boat,clarinet,clarinet,26,28,0.9285714285714286,cat_1
6633,whale,kettle,monkey,monkey,26,28,0.9285714285714286,cat_2
6536,caterpillar,spider,iguana,spider,25,27,0.9259259259259259,cat_1
3696,piano,beetle,drum,drum,25,27,0.9259259259259259,cat_2
739,boat,airplane,kangaroo,airplane,25,27,0.9259259259259259,cat_2
3842,lion,snake,cockroach,snake,24,26,0.9230769230769231,cat_3
7752,turtle,kettle,lion,lion,24,26,0.9230769230769231,cat_4
6770,piano,bowl,chameleon,bowl,23,25,0.92,cat_4
1149,kettle,beetle,glass,glass,23,25,0.92,cat_2
2318,snake,beetle,turtle,turtle,23,25,0.92,cat_1
411,piano,violin,spoon,violin,23,25,0.92,cat_1
2708,spider,chameleon,hovercraft,chameleon,23,25,0.92,cat_4
7418,spoon,clarinet,whale,clarinet,23,25,0.92,cat_4
6118,lizard,turtle,kettle,turtle,22,24,0.9166666666666666,cat_2
4904,piano,chameleon,bowl,bowl,22,24,0.9166666666666666,cat_4
479,cockroach,turtle,kangaroo,turtle,22,24,0.9166666666666666,cat_3
725,piano,spoon,violin,violin,22,24,0.9166666666666666,cat_1
5622,spoon,violin,train,violin,22,24,0.9166666666666666,cat_3
726,kettle,turtle,drum,drum,22,24,0.9166666666666666,cat_4
5733,drum,violin,cockroach,violin,21,23,0.9130434782608695,cat_2
4725,spoon,bowl,kettle,bowl,21,23,0.9130434782608695,cat_0
6358,chameleon,iguana,turtle,iguana,21,23,0.9130434782608695,cat_0
3009,kangaroo,chameleon,boat,chameleon,20,22,0.9090909090909091,cat_4
5965,drum,kettle,guitar,guitar,20,22,0.9090909090909091,cat_1
1613,kangaroo,monkey,lizard,monkey,20,22,0.9090909090909091,cat_1
3006,snake,whale,lizard,lizard,27,30,0.9,cat_1
7777,spoon,monkey,airplane,airplane,18,20,0.9,cat_4
732,tractor,glass,boat,boat,18,20,0.9,cat_1
1914,kangaroo,tractor,elephant,elephant,17,19,0.8947368421052632,cat_2
6721,lion,caterpillar,elephant,elephant,17,19,0.8947368421052632,cat_1
705,moth,elephant,cockroach,cockroach,17,19,0.8947368421052632,cat_1
4784,iguana,elephant,lizard,lizard,25,28,0.8928571428571429,cat_1
3996,spider,lizard,lion,lizard,25,28,0.8928571428571429,cat_3
6585,iguana,caterpillar,turtle,turtle,25,28,0.8928571428571429,cat_1
649,tractor,train,boat,train,24,27,0.8888888888888888,cat_0
299,beetle,whale,iguana,iguana,24,27,0.8888888888888888,cat_3
2497,guitar,airplane,piano,piano,23,26,0.8846153846153846,cat_1
7320,turtle,whale,jar,whale,23,26,0.8846153846153846,cat_4
4736,cockroach,beetle,caterpillar,beetle,23,26,0.8846153846153846,cat_0
6703,violin,glass,snake,glass,23,26,0.8846153846153846,cat_4
2103,moth,kettle,elephant,elephant,22,25,0.88,cat_4
7386,glass,spoon,kettle,kettle,21,24,0.875,cat_0
4142,guitar,piano,airplane,piano,21,24,0.875,cat_1
5161,moth,clarinet,kangaroo,kangaroo,21,24,0.875,cat_4
4702,boat,violin,jar,violin,21,24,0.875,cat_3
6488,whale,guitar,cockroach,cockroach,21,24,0.875,cat_4
106,clarinet,spoon,tractor,spoon,27,31,0.8709677419354839,cat_3
2588,moth,cockroach,elephant,cockroach,27,31,0.8709677419354839,cat_1
4825,beetle,moth,turtle,moth,27,31,0.8709677419354839,cat_1
7250,turtle,snake,iguana,iguana,20,23,0.8695652173913043,cat_0
5097,beetle,iguana,whale,iguana,20,23,0.8695652173913043,cat_3
5843,moth,turtle,violin,turtle,20,23,0.8695652173913043,cat_4
2845,airplane,train,hovercraft,train,13,15,0.8666666666666667,cat_0
1799,jar,kettle,glass,glass,19,22,0.8636363636363636,cat_0
4812,moth,violin,turtle,turtle,25,29,0.8620689655172413,cat_4
7085,lion,cockroach,jar,cockroach,25,29,0.8620689655172413,cat_4
7652,kangaroo,lizard,monkey,monkey,24,28,0.8571428571428571,cat_1
7036,tractor,clarinet,airplane,airplane,18,21,0.8571428571428571,cat_1
2460,glass,kettle,bowl,bowl,18,21,0.8571428571428571,cat_0
5386,jar,guitar,spoon,spoon,24,28,0.8571428571428571,cat_1
2511,chameleon,turtle,iguana,iguana,24,28,0.8571428571428571,cat_0
2448,spider,hovercraft,chameleon,chameleon,23,27,0.8518518518518519,cat_4
124,glass,bowl,kettle,bowl,23,27,0.8518518518518519,cat_0
1425,kangaroo,spider,lizard,lizard,23,27,0.8518518518518519,cat_3
5557,caterpillar,cockroach,kangaroo,cockroach,23,27,0.8518518518518519,cat_1
6256,whale,cockroach,guitar,cockroach,23,27,0.8518518518518519,cat_4
4368,boat,guitar,chameleon,guitar,22,26,0.8461538461538461,cat_4
2012,spider,monkey,chameleon,chameleon,22,26,0.8461538461538461,cat_3
7690,spoon,airplane,clarinet,clarinet,27,32,0.84375,cat_3
5523,spoon,clarinet,airplane,clarinet,16,19,0.8421052631578947,cat_3
1959,jar,spoon,guitar,spoon,16,19,0.8421052631578947,cat_1
6430,cockroach,beetle,moth,beetle,21,25,0.84,cat_0
2963,glass,guitar,kettle,kettle,21,25,0.84,cat_1
780,clarinet,guitar,piano,guitar,26,31,0.8387096774193549,cat_0
5592,lion,turtle,cockroach,turtle,25,30,0.8333333333333334,cat_3
1523,kangaroo,lion,iguana,lion,25,30,0.8333333333333334,cat_1
2156,clarinet,kettle,boat,kettle,20,24,0.8333333333333334,cat_3
4443,turtle,lion,kettle,lion,19,23,0.8260869565217391,cat_4
5981,tractor,hovercraft,train,train,19,23,0.8260869565217391,cat_0
3700,clarinet,lizard,jar,jar,19,23,0.8260869565217391,cat_4
497,clarinet,piano,violin,violin,23,28,0.8214285714285714,cat_0
7708,kangaroo,moth,chameleon,chameleon,23,28,0.8214285714285714,cat_3
3864,kangaroo,lizard,spider,lizard,18,22,0.8181818181818182,cat_3
6681,train,clarinet,iguana,clarinet,18,22,0.8181818181818182,cat_4
6683,elephant,lizard,moth,lizard,18,22,0.8181818181818182,cat_3
1426,jar,elephant,train,train,26,32,0.8125,cat_4
2622,cockroach,caterpillar,beetle,beetle,20,25,0.8,cat_0
619,jar,train,elephant,train,16,20,0.8,cat_4
1015,clarinet,piano,drum,drum,23,29,0.7931034482758621,cat_0
1009,glass,spoon,bowl,bowl,18,23,0.782608695652174,cat_0
4301,snake,turtle,beetle,turtle,21,27,0.7777777777777778,cat_1
3625,airplane,hovercraft,train,train,27,35,0.7714285714285715,cat_0
2603,cockroach,moth,beetle,beetle,20,26,0.7692307692307693,cat_0
5998,caterpillar,iguana,spider,spider,20,26,0.7692307692307693,cat_1
6159,lizard,whale,spider,spider,20,26,0.7692307692307693,cat_3
3671,chameleon,iguana,snake,iguana,13,17,0.7647058823529411,cat_0
745,clarinet,drum,guitar,guitar,16,21,0.7619047619047619,cat_0
4984,tractor,train,hovercraft,train,19,25,0.76,cat_0
3191,spoon,train,piano,piano,19,25,0.76,cat_3
47,jar,glass,kettle,glass,22,29,0.7586206896551724,cat_0
6473,spoon,kettle,bowl,bowl,22,29,0.7586206896551724,cat_0
1832,spoon,train,violin,violin,21,28,0.75,cat_3
7712,chameleon,snake,iguana,iguana,24,32,0.75,cat_0
7784,iguana,turtle,caterpillar,turtle,17,23,0.7391304347826086,cat_1
6303,lizard,iguana,snake,iguana,14,19,0.7368421052631579,cat_0
4906,lizard,snake,iguana,iguana,22,30,0.7333333333333333,cat_0
1077,clarinet,jar,lizard,jar,19,26,0.7307692307692307,cat_4
4582,snake,monkey,cockroach,cockroach,19,26,0.7307692307692307,cat_3
6213,glass,bowl,spoon,bowl,21,29,0.7241379310344828,cat_0
1677,clarinet,tractor,spoon,spoon,15,21,0.7142857142857143,cat_3
857,kettle,guitar,tractor,guitar,17,24,0.7083333333333334,cat_3
4566,hovercraft,violin,turtle,violin,17,24,0.7083333333333334,cat_4
7533,clarinet,guitar,drum,guitar,19,27,0.7037037037037037,cat_0
2798,turtle,iguana,snake,iguana,19,27,0.7037037037037037,cat_0
6819,drum,hovercraft,jar,jar,14,20,0.7,cat_3
7704,airplane,snake,glass,glass,20,29,0.6896551724137931,cat_4
3393,beetle,turtle,moth,moth,13,19,0.6842105263157895,cat_1
7669,beetle,moth,caterpillar,moth,15,22,0.6818181818181818,cat_0
4185,kettle,tractor,guitar,guitar,15,22,0.6818181818181818,cat_3
1644,train,piano,bowl,piano,15,22,0.6818181818181818,cat_3
6089,lion,kangaroo,monkey,kangaroo,19,28,0.6785714285714286,cat_0
7343,spoon,piano,train,piano,19,28,0.6785714285714286,cat_3
626,spoon,airplane,monkey,airplane,21,31,0.6774193548387096,cat_4
229,turtle,whale,lizard,lizard,14,21,0.6666666666666666,cat_1
7381,drum,airplane,jar,jar,14,21,0.6666666666666666,cat_3
6784,drum,hovercraft,glass,glass,18,27,0.6666666666666666,cat_3
332,kangaroo,snake,whale,whale,16,24,0.6666666666666666,cat_1
2296,train,bowl,piano,piano,16,24,0.6666666666666666,cat_3
5447,hovercraft,clarinet,kettle,clarinet,14,21,0.6666666666666666,cat_3
2382,whale,kangaroo,elephant,elephant,16,24,0.6666666666666666,cat_0
441,spider,cockroach,caterpillar,cockroach,14,21,0.6666666666666666,cat_0
5776,spider,caterpillar,cockroach,cockroach,19,29,0.6551724137931034,cat_0
7754,lion,monkey,kangaroo,kangaroo,15,23,0.6521739130434783,cat_0
4068,iguana,lion,moth,lion,14,22,0.6363636363636364,cat_3
3715,tractor,boat,airplane,boat,14,22,0.6363636363636364,cat_0
849,kangaroo,chameleon,moth,chameleon,14,22,0.6363636363636364,cat_3
6084,clarinet,drum,piano,piano,14,22,0.6363636363636364,cat_0
6027,clarinet,violin,piano,violin,14,22,0.6363636363636364,cat_0
6936,drum,jar,hovercraft,jar,19,30,0.6333333333333333,cat_3
7706,airplane,hovercraft,tractor,tractor,12,19,0.631578947368421,cat_0
5611,airplane,glass,snake,glass,12,19,0.631578947368421,cat_4
3313,lion,elephant,kangaroo,kangaroo,17,27,0.6296296296296297,cat_0
4477,boat,whale,kettle,whale,15,24,0.625,cat_4
4596,whale,kangaroo,monkey,kangaroo,13,21,0.6190476190476191,cat_0
5935,kangaroo,monkey,elephant,monkey,13,21,0.6190476190476191,cat_0
6639,chameleon,snake,lizard,lizard,16,26,0.6153846153846154,cat_0
2177,drum,glass,hovercraft,glass,14,23,0.6086956521739131,cat_3
1591,jar,piano,train,piano,14,23,0.6086956521739131,cat_3
1770,whale,monkey,kangaroo,kangaroo,17,28,0.6071428571428571,cat_0
2500,airplane,tractor,hovercraft,tractor,20,33,0.6060606060606061,cat_0
1132,lizard,spider,whale,spider,15,25,0.6,cat_3
2184,drum,jar,airplane,airplane,18,30,0.6,cat_3
2681,turtle,caterpillar,lion,caterpillar,15,25,0.6,cat_3
395,lion,kangaroo,elephant,kangaroo,15,25,0.6,cat_0
3069,kangaroo,whale,snake,whale,16,27,0.5925925925925926,cat_1
3235,airplane,violin,kettle,kettle,14,24,0.5833333333333334,cat_3
1938,airplane,kettle,violin,violin,15,26,0.5769230769230769,cat_3
2740,glass,kettle,spoon,kettle,15,26,0.5769230769230769,cat_0
1142,turtle,lion,caterpillar,lion,14,25,0.56,cat_3
2924,boat,bowl,guitar,guitar,11,20,0.55,cat_3
4044,drum,piano,guitar,guitar,13,24,0.5416666666666666,cat_0
749,hovercraft,kettle,clarinet,clarinet,14,26,0.5384615384615384,cat_3
1311,spider,caterpillar,beetle,beetle,15,28,0.5357142857142857,cat_0
373,boat,kettle,whale,whale,15,28,0.5357142857142857,cat_4
1549,iguana,moth,lion,moth,15,28,0.5357142857142857,cat_3
3591,kangaroo,elephant,monkey,monkey,16,30,0.5333333333333333,cat_0
4133,iguana,beetle,monkey,monkey,12,23,0.5217391304347826,cat_3
4937,hovercraft,turtle,violin,violin,13,25,0.52,cat_4
4492,whale,elephant,kangaroo,kangaroo,13,25,0.52,cat_0
4630,snake,cockroach,monkey,cockroach,14,27,0.5185185185185185,cat_3
2057,tractor,airplane,boat,boat,14,27,0.5185185185185185,cat_0
528,drum,guitar,piano,guitar,14,27,0.5185185185185185,cat_0
5671,iguana,monkey,beetle,monkey,14,27,0.5185185185185185,cat_3
2413,boat,guitar,bowl,bowl,14,27,0.5185185185185185,cat_3
7470,jar,train,piano,train,12,24,0.5,cat_3
5165,beetle,caterpillar,moth,moth,14,28,0.5,cat_0
1955,spider,beetle,caterpillar,beetle,10,20,0.5,cat_0
916,boat,jar,violin,jar,11,22,0.5,cat_3
